Timestamp,Shell_Inlet_Temp_C,Shell_Outlet_Temp_C,Tube_Inlet_Temp_C,Tube_Outlet_Temp_C,Shell_Flow_Rate_kg_h,Tube_Flow_Rate_kg_h,Shell_Inlet_Press_bar,Shell_Outlet_Press_bar,Tube_Inlet_Press_bar,Tube_Outlet_Press_bar
2026-03-01 00:00:00,185.0,142.0,35.0,72.0,45000.0,62000.0,12.5,12.1,6.8,6.4
2026-03-01 01:00:00,185.1,141.85,35.05,71.8,45120.0,61920.0,12.5,12.09,6.8,6.39
2026-03-01 02:00:00,185.2,141.7,35.1,71.6,45240.0,61840.0,12.5,12.08,6.8,6.37
2026-03-01 03:00:00,185.3,141.55,35.15,71.4,45000.0,61760.0,12.5,12.07,6.8,6.36
2026-03-01 04:00:00,185.4,141.4,35.2,71.2,45120.0,62000.0,12.5,12.06,6.8,6.34
2026-03-01 05:00:00,185.5,141.25,35.25,71.0,45240.0,61920.0,12.5,12.05,6.8,6.33
2026-03-01 06:00:00,185.6,141.1,35.3,70.8,45000.0,61840.0,12.5,12.04,6.8,6.31
2026-03-01 07:00:00,185.7,140.95,35.35,70.6,45120.0,61760.0,12.5,12.03,6.8,6.29
2026-03-01 08:00:00,185.8,140.8,35.4,70.4,45240.0,62000.0,12.5,12.02,6.8,6.28
2026-03-01 09:00:00,185.9,140.65,35.45,70.2,45000.0,61920.0,12.5,12.01,6.8,6.27
2026-03-01 10:00:00,186.0,140.5,35.5,70.0,45120.0,61840.0,12.5,12.0,6.8,6.25
2026-03-01 11:00:00,186.1,140.35,35.55,69.8,45240.0,61760.0,12.5,11.99,6.8,6.24
2026-03-01 12:00:00,186.2,140.2,35.6,69.6,45000.0,62000.0,12.5,11.98,6.8,6.22
2026-03-01 13:00:00,186.3,140.05,35.65,69.4,45120.0,61920.0,12.5,11.97,6.8,6.21
2026-03-01 14:00:00,186.4,139.9,35.7,69.2,45240.0,61840.0,12.5,11.96,6.8,6.19
2026-03-01 15:00:00,186.5,139.75,35.75,69.0,45000.0,61760.0,12.5,11.95,6.8,6.18
2026-03-01 16:00:00,186.6,139.6,35.8,68.8,45120.0,62000.0,12.5,11.94,6.8,6.16
2026-03-01 17:00:00,186.7,139.45,35.85,68.6,45240.0,61920.0,12.5,11.93,6.8,6.15
2026-03-01 18:00:00,186.8,139.3,35.9,68.4,45000.0,61840.0,12.5,11.92,6.8,6.13
2026-03-01 19:00:00,186.9,139.15,35.95,68.2,45120.0,61760.0,12.5,11.91,6.8,6.12
2026-03-01 20:00:00,187.0,139.0,36.0,68.0,45240.0,62000.0,12.5,11.9,6.8,6.1
2026-03-01 21:00:00,187.1,138.85,36.05,67.8,45000.0,61920.0,12.5,11.89,6.8,6.08
2026-03-01 22:00:00,187.2,138.7,36.1,67.6,45120.0,61840.0,12.5,11.88,6.8,6.07
2026-03-01 23:00:00,187.3,138.55,36.15,67.4,45240.0,61760.0,12.5,11.87,6.8,6.06
